,Index,Metro name to use,Metro,State name,Fixed Metro name,raw_workers_16_and_over,raw_LaborForce,raw_Jobs_all_jobs,raw_Jobs_information_jobs,raw_Jobs_manufacturing_jobs,raw_ShareInInformation,raw_ShareInManufacturing,raw_Population_hs_education,raw_Population_bachelor_education,raw_per_capita_income,raw_MedianEarnings_manufacturing_occupation,raw_MedianEarnings_information_occupation,raw_LaborProductivity,raw_Total tax impact,raw_TaxRev_County,raw_public_transport_pct,raw_State Percent Rural Interstate Mileage in Poor Condition,raw_State Percent Urban Interstate Mileage in Poor Condition,raw_Natural Disaster Risk,raw_mean_commute_time,raw_median_household_income,raw_median_house_value,population,LAT,LON,MSA,region
0,1,"Aberdeen, SD Micro Area","Aberdeen, SD Micro Area",South Dakota,,22725,23260,[KILL],277,2840,0.012189219,0.124972497,93.7,31.2,33591,41423,45378.0,106109.2189,0.047,810.5170517,0,0.51,2.27,50,13.6,62042,173000,42864,45.52161902,-98.69592036,"Aberdeen, SD Micro Area",Midwest
1,2,"Aberdeen, WA Micro Area","Aberdeen, WA Micro Area",Washington,,28592,30666,[KILL],305,2843,0.01066732,0.099433408,89.9,16.1,27277,41113,21307.0,73873.04141,0.043,1271.579463,1,5.36,3.58,55,27.1,50665,207200,73769,47.15025138,-123.7735019,"Aberdeen, WA Micro Area",West
2,3,"Abilene, TX Metro Area","Abilene, TX Metro Area",Texas,,75803,82453,[KILL],812,5219,0.010711977,0.068849518,88.0,24.4,26737,41530,38359.0,92789.58616,0.052,691.819585,1,0.75,3.43,173,18.3,54857,152900,171354,32.44969158,-99.71770324,"Abilene, TX Metro Area",South
3,4,"Ada, OK Micro Area","Ada, OK Micro Area",Oklahoma,,16972,17848,[KILL],212,1262,0.012491162,0.074357766,89.3,28.8,27038,41013,47500.0,104158.4963,0.049,521.0346453,1,2.54,6.25,43,17.8,51682,142600,38385,34.7279976,-96.68444119,"Ada, OK Micro Area",South
4,5,"Adrian, MI Micro Area","Adrian, MI Micro Area",Michigan,,44724,47082,[KILL],515,9349,0.01151507,0.209037653,91.0,21.1,28695,45467,34719.0,59236.76326,0.033,474.4879707,0,3.23,8.17,9,26.7,57314,148700,98310,41.8951247,-84.06639188,"Adrian, MI Micro Area",Midwest
5,6,"Akron, OH Metro Area","Akron, OH Metro Area",Ohio,,352385,374483,[KILL],5610,52804,0.015920087,0.149847468,92.2,32.1,33985,48399,41154.0,90490.00099,0.038,657.6017708,1,1.87,4.4,29,23.6,59313,161400,703286,41.14871908,-81.3495348,"Akron, OH Metro Area",Midwest
6,7,"Alamogordo, NM Micro Area","Alamogordo, NM Micro Area",New Mexico,,23413,28741,[KILL],491,402,0.020971255,0.017169948,86.8,18.9,24777,43375,40826.0,104184.6837,0.08,856.2337163,0,2.02,3.21,27,20.6,45032,139500,66804,32.61319754,-105.7414628,"Alamogordo, NM Micro Area",West
7,8,"Albany, GA Metro Area","Albany, GA Metro Area",Georgia,,61515,67680,[KILL],801,6052,0.013021214,0.098382508,85.6,20.7,24385,34472,32674.0,83031.24441,0.035,1511.403723,1,1.3,2.68,60,21.4,46323,139900,147431,31.64648571,-84.11531462,"Albany, GA Metro Area",South
8,9,"Albany-Lebanon, OR Metro Area","Albany-Lebanon, OR Metro Area",Oregon,,56332,60491,[KILL],398,7720,0.007065256,0.137044664,89.9,19.5,27820,51110,52941.0,78381.48832,0.041,623.0916708,0,0.6,2.99,51,23.9,59547,242900,127216,44.48887389,-122.5349852,"Albany-Lebanon, OR Metro Area",West
9,10,"Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",New York,,448875,473283,[KILL],7811,34447,0.017401281,0.076740741,92.4,38.6,38998,61730,51341.0,123322.5798,0.057,2498.631022,3,2.63,9.34,134,23.3,72810,228100,880766,42.7885085,-73.941994,"Albany-Schenectady-Troy, NY Metro Area",Northeast
