Index,NAME,State,DP02_0067E,DP02_0067PE,DP02_0068E,DP02_0068PE,DP03_0027E,DP03_0027PE,DP03_0035E,DP03_0035PE,DP03_0038E,DP03_0038PE,DP03_0039E,DP03_0039PE,DP03_0040E,DP03_0040PE,DP03_0041E,DP03_0041PE,DP03_0062E,DP03_0063E,DP03_0065E,DP03_0092E,DP03_0092PE,DP03_0093E,DP03_0093PE,DP03_0094E,DP03_0094PE,DP03_0128E,DP03_0128PE,DP04_0089E,DP04_0109E,DP04_0134E,DP05_0037E,DP05_0037PE,B24011_001E,B24011_003E,B24011_006E,B24011_010E,B24011_015E,B24011_018E,B24011_026E,S2413_C01_006E,S2413_C01_009E,S2413_C01_012E,S2413_C01_013E,S2413_C01_016E,Industrial electricity rates,Commercial electricity rates,Residential electricity rates,(R01) Total Revenue,(E024) Total Educ-Direct Exp,(E025) Total Educ-Cur Oper,(E026) Total Educ-Cap Outlay,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E034) Total High Ed-Cap Out,(E065) Total Highways-Dir Exp,(E066) Total Highways-Cur Op,(E067) Total Highways-Cap Out,Share of rev_(E024) Total Educ-Direct Exp,Share of rev_(E025) Total Educ-Cur Oper,Share of rev_(E026) Total Educ-Cap Outlay,Share of rev_(E030) Total High Ed-Dir Exp,Share of rev_(E031) Total High Ed-Cur Oper,Share of rev_(E034) Total High Ed-Cap Out,Share of rev_(E065) Total Highways-Dir Exp,Share of rev_(E066) Total Highways-Cur Op,Share of rev_(E067) Total Highways-Cap Out
1,"Aberdeen, SD Micro Area",South Dakota,26600,93.7,8847,31.2,8411,37,2840,12.5,1067,4.7,277,1.2,1221,5.4,1205,5.3,62042,81004,76655,35791,,50949,,40800,,,9.1,168300,518,671,38224,89.2,38074,51990,54228,40852,55689,19583,30877,41423,54844,45378,50551,38583,7.7904556,9.6513981,11.745686,9564,2889,2478,349,892,770,123,1110,515,594,0.302070263,0.259096612,0.036491008,0.093266416,0.080510247,0.012860728,0.116060226,0.053847762,0.062107905
2,"Aberdeen, WA Micro Area",Washington,48302,89.9,8648,16.1,8950,31.3,2843,9.9,1429,5,305,1.1,1235,4.3,1540,5.4,50665,66796,67038,30829,,47093,,40777,,,14.5,192600,454,828,63746,86.4,34392,60380,48676,30137,46910,23948,31206,41113,60968,21307,44303,32371,5.0807916,8.9223087,9.8736351,14146,3774,3082,544,981,907,74,614,310,304,0.266789198,0.217870776,0.038456101,0.069348226,0.064117065,0.005231161,0.043404496,0.021914322,0.021490174
3,"Abilene, TX Metro Area",Texas,95945,88,26594,24.4,25442,33.6,5219,6.9,4445,5.9,812,1.1,5328,7,5003,6.6,54857,72694,70961,28632,,43795,,34261,,,13.3,124900,443,908,130094,75.9,31031,53028,55815,36974,52128,16913,26934,41530,41915,38359,36681,30345,5.068857,7.5987531,11.713731,10000,3246,2693,484,1111,969,141,836,202,634,0.3246,0.2693,0.0484,0.1111,0.0969,0.0141,0.0836,0.0202,0.0634
4,"Ada, OK Micro Area",Oklahoma,22189,89.3,7164,28.8,6377,37.6,1262,7.4,628,3.7,212,1.2,803,4.7,1300,7.7,51682,68283,73217,34295,,44782,,36996,,,13.6,134700,372,730,25878,67.4,36104,54896,55804,38861,52500,23227,29530,41013,40611,47500,36813,35388,4.6099641,7.8242336,10.115675,9975,2821,2416,283,960,879,82,714,231,482,0.282807018,0.242205514,0.028370927,0.096240602,0.088120301,0.008220551,0.071578947,0.023157895,0.048320802
5,"Adrian, MI Micro Area",Michigan,62345,91,14423,21.1,13314,29.8,9349,20.9,1672,3.7,515,1.2,1376,3.1,3543,7.9,57314,71947,71289,31504,,48726,,39503,,,11.3,143000,469,796,91077,92.6,34836,52883,70859,40558,54397,18682,31135,45467,53804,34719,40959,33558,7.243034,11.711424,16.260424,10780,3317,2823,346,1268,1089,178,528,335,193,0.307699443,0.26187384,0.032096475,0.117625232,0.101020408,0.016512059,0.048979592,0.031076067,0.017903525
7,"Akron, OH Metro Area",Ohio,449511,92.2,156643,32.1,130841,37.1,52804,15,17816,5.1,5610,1.6,21305,6,34973,9.9,59313,80601,82107,34136,,54094,,42634,,,12.5,153600,496,857,565854,80.5,37201,65348,70992,42449,55803,17344,32421,48399,45650,41154,51756,42404,6.1594853,9.5271884,12.287015,11155,3199,2780,290,819,729,90,518,205,313,0.28677723,0.249215598,0.025997311,0.073419991,0.06535186,0.008068131,0.046436576,0.018377409,0.028059166
8,"Alamogordo, NM Micro Area",New Mexico,38478,86.8,8365,18.9,6641,28.4,402,1.7,1127,4.8,491,2.1,1093,4.7,1875,8,45032,64127,61519,25858,,39384,,31237,,,19.1,120800,306,811,50081,75,27656,43885,59224,34611,61657,17127,23687,43375,34676,40826,33830,31817,5.5791471,10.275199,12.936179,14165,3422,2920,407,1429,1291,138,481,226,256,0.241581363,0.206141899,0.028732792,0.100882457,0.091140134,0.009742323,0.033956936,0.015954818,0.018072714
9,"Albany, GA Metro Area",Georgia,82846,85.6,20028,20.7,19232,31.3,6052,9.8,3482,5.7,801,1.3,2878,4.7,4978,8.1,46323,61353,61687,29835,,43099,,36021,,,23.3,120200,440,779,61282,41.6,32236,53766,56723,40330,61782,18891,27506,34472,39889,32674,41958,33088,5.7692967,10.081496,12.01619,9125,2895,2464,306,611,519,92,420,175,245,0.317260274,0.270027397,0.033534247,0.066958904,0.056876712,0.010082192,0.046027397,0.019178082,0.026849315
10,"Albany-Lebanon, OR Metro Area",Oregon,79629,89.9,17292,19.5,19364,34.4,7720,13.7,2828,5,398,0.7,2248,4,4135,7.3,59547,71370,68077,33384,,51910,,39385,,,12.3,240200,500,1037,112978,88.8,36419,50546,65367,35695,52797,19899,32705,51110,40660,52941,41158,37050,5.696187,9.0033694,11.167035,14726,3736,3079,589,1239,1029,211,549,341,207,0.253700937,0.20908597,0.039997284,0.084136901,0.069876409,0.014328399,0.037281,0.023156322,0.01405677
11,"Albany-Schenectady-Troy, NY Metro Area",New York,565543,92.4,236307,38.6,203187,45.3,34447,7.7,18280,4.1,7811,1.7,30577,6.8,51511,11.5,72810,93501,94512,41056,,61687,,51560,,,10.1,221200,625,1039,719699,81.7,45077,69741,76813,49566,62307,21617,35658,61730,52641,51341,56324,59654,5.5444471,14.560151,18.364581,20074,4699,4188,398,736,653,82,727,274,453,0.23408389,0.208628076,0.019826641,0.036664342,0.03252964,0.004084886,0.036216001,0.013649497,0.022566504
12,"Albemarle, NC Micro Area",North Carolina,37663,86.5,7679,17.6,8481,29.5,4462,15.5,953,3.3,218,0.8,1538,5.4,1815,6.3,54104,69698,69582,31646,,47083,,36023,,,12.2,150400,374,753,51637,83.2,34049,50033,55598,34879,52989,20403,32528,40748,53838,41471,41803,26604,6.3115239,8.6900012,11.379161,10331,2784,2401,239,1020,919,100,629,167,462,0.269480205,0.232407318,0.023134256,0.098731972,0.088955571,0.009679605,0.060884716,0.01616494,0.044719775
13,"Albert Lea, MN Micro Area",Minnesota,19227,88.2,3713,17,4247,28.6,3061,20.6,683,4.6,271,1.8,522,3.5,645,4.3,54628,70457,71532,34479,,47728,,39048,,,9.8,121600,429,723,27299,89.6,37145,49944,71875,44483,54680,21707,34822,40867,50539,24954,41125,48566,7.6722033,10.427334,13.168291,13853,3511,2944,425,879,821,58,894,378,515,0.253446907,0.212517144,0.030679275,0.06345196,0.059265141,0.004186819,0.064534758,0.027286508,0.037176063
14,"Albertville, AL Micro Area",Alabama,53596,83.3,13298,20.7,13093,32.9,8838,22.2,2118,5.3,810,2,1543,3.9,3360,8.4,50216,68303,71852,30550,,45601,,34314,,,19.1,141300,355,650,86784,90.3,32219,55566,65926,45955,40985,16636,29086,35659,47283,35446,32750,30064,5.873579,11.546934,12.574964,10704,3079,2614,286,1156,993,163,581,272,309,0.287649477,0.244207773,0.026718984,0.10799701,0.092769058,0.015227952,0.054278774,0.025411061,0.028867713
15,"Albuquerque, NM Metro Area",New Mexico,566814,89.6,208752,33,172172,41.1,18112,4.3,15340,3.7,6982,1.7,24441,5.8,57558,13.7,55370,74226,74313,32264,,47705,,40975,,,15.5,199700,413,908,647918,70.7,34972,58947,75621,40044,62161,19476,29813,42272,44956,39734,39350,50815,5.5791471,10.275199,12.936179,14165,3422,2920,407,1429,1291,138,481,226,256,0.241581363,0.206141899,0.028732792,0.100882457,0.091140134,0.009742323,0.033956936,0.015954818,0.018072714
16,"Alexander City, AL Micro Area",Alabama,30275,81.7,6375,17.2,4923,25.1,4471,22.8,1148,5.8,103,0.5,812,4.1,1081,5.5,47213,60213,63200,30159,,42038,,31587,,,15.7,104200,366,636,35310,69,32555,57017,59264,44759,49579,22030,27405,37276,50000,33836,42115,30446,5.873579,11.546934,12.574964,10704,3079,2614,286,1156,993,163,581,272,309,0.287649477,0.244207773,0.026718984,0.10799701,0.092769058,0.015227952,0.054278774,0.025411061,0.028867713
17,"Alexandria, LA Metro Area",Louisiana,88432,86.1,20410,19.9,20962,33.3,3821,6.1,3156,5,577,0.9,2804,4.4,4257,6.8,48294,68849,71617,31405,,49359,,36502,,,18.4,144500,322,814,99844,65.4,34447,52418,64185,41709,65331,20172,28901,52560,50883,34432,39690,32316,4.8804304,8.8513989,9.6679257,10795,2731,2363,215,802,702,100,478,206,272,0.252987494,0.218897638,0.019916628,0.074293654,0.065030107,0.009263548,0.044279759,0.019082909,0.02519685
18,"Alexandria, MN Micro Area",Minnesota,25903,95.5,7366,27.2,6906,35.4,3592,18.4,791,4.1,292,1.5,989,5.1,1445,7.4,65430,83324,82248,36605,,54362,,40466,,,7.9,226500,502,710,36617,96.8,39506,58108,70263,40833,52390,19928,32530,46132,50917,33333,46932,41864,7.6722033,10.427334,13.168291,13853,3511,2944,425,879,821,58,894,378,515,0.253446907,0.212517144,0.030679275,0.06345196,0.059265141,0.004186819,0.064534758,0.027286508,0.037176063
19,"Alice, TX Micro Area",Texas,25226,76.5,4832,14.7,5723,27.9,1138,5.5,914,4.5,118,0.6,900,4.4,1163,5.7,45699,62542,64539,28370,,44780,,30593,,,21.1,73700,371,759,48322,92.9,30671,43184,64757,45900,33472,13871,25841,63068,55750,8529,35337,24359,5.068857,7.5987531,11.713731,10000,3246,2693,484,1111,969,141,836,202,634,0.3246,0.2693,0.0484,0.1111,0.0969,0.0141,0.0836,0.0202,0.0634
20,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",New Jersey,532260,90.6,179984,30.6,154276,37.1,56876,13.7,30458,7.3,8457,2,21243,5.1,39760,9.6,69769,91520,93348,37467,,57326,,45319,,,10.5,219200,665,1090,685179,81.4,41287,69990,77678,45867,62319,20860,34799,54197,43806,53300,51792,46772,10.007474,12.347841,16.028495,13603,4264,3865,280,835,755,80,574,222,352,0.313460266,0.284128501,0.020583695,0.061383518,0.055502463,0.005881056,0.042196574,0.016319929,0.025876645
21,"Alma, MI Micro Area",Michigan,25989,92.1,4664,16.5,5058,30.5,2413,14.6,700,4.2,150,0.9,676,4.1,990,6,49795,67009,70610,30319,,46768,,34909,,,15.8,97600,430,688,36688,90.2,33419,50913,48198,41153,53108,21653,27891,38173,58118,21875,33981,26276,7.243034,11.711424,16.260424,10780,3317,2823,346,1268,1089,178,528,335,193,0.307699443,0.26187384,0.032096475,0.117625232,0.101020408,0.016512059,0.048979592,0.031076067,0.017903525
22,"Alpena, MI Micro Area",Michigan,19644,92.9,3797,18,3873,31.6,1595,13,511,4.2,239,2,478,3.9,679,5.5,42603,57284,58325,27082,,43453,,35485,,,14.4,104900,373,580,27308,96.1,30382,51389,67500,36467,40435,16029,25778,47069,53125,21458,41538,27071,7.243034,11.711424,16.260424,10780,3317,2823,346,1268,1089,178,528,335,193,0.307699443,0.26187384,0.032096475,0.117625232,0.101020408,0.016512059,0.048979592,0.031076067,0.017903525
23,"Altoona, PA Metro Area",Pennsylvania,80933,91.7,19646,22.3,18397,32.6,5916,10.5,3920,7,707,1.3,1721,3.1,4158,7.4,50856,67949,69340,31792,,49139,,39028,,,13.8,128200,445,741,116594,95.2,34621,52470,57592,40567,57399,18926,29465,40368,51201,43769,38457,33524,6.1602811,8.4972078,13.582329,12273,3640,3180,365,927,739,187,879,306,573,0.296586002,0.259105353,0.02974008,0.075531655,0.060213477,0.015236698,0.071620631,0.024932779,0.046687851
24,"Altus, OK Micro Area",Oklahoma,13701,85.7,3557,22.2,3259,30.4,883,8.2,332,3.1,146,1.4,329,3.1,636,5.9,52535,67331,65620,30106,,46214,,30783,,,15.8,99700,387,722,18210,73.4,32255,67375,51250,38384,32309,18259,27539,40058,62407,44643,31417,20653,4.6099641,7.8242336,10.115675,9975,2821,2416,283,960,879,82,714,231,482,0.282807018,0.242205514,0.028370927,0.096240602,0.088120301,0.008220551,0.071578947,0.023157895,0.048320802
25,"Amarillo, TX Metro Area",Texas,147771,86.1,41171,24,40930,32.6,13824,11,7901,6.3,1346,1.1,6796,5.4,10030,8,56055,76804,77905,32732,,49980,,36816,,,14.4,147600,501,878,216559,81.9,35239,60174,74369,45320,56246,20938,29382,41680,46128,40338,35805,41648,5.068857,7.5987531,11.713731,10000,3246,2693,484,1111,969,141,836,202,634,0.3246,0.2693,0.0484,0.1111,0.0969,0.0141,0.0836,0.0202,0.0634
26,"Americus, GA Micro Area",Georgia,18859,84.4,4188,18.7,4833,32.8,2497,16.9,708,4.8,575,3.9,426,2.9,1222,8.3,39068,55508,57914,30165,,38489,,33061,,,22.8,125400,422,710,16354,46.8,31437,44167,33144,43694,40349,17395,25284,30585,58182,34758,38333,32934,5.7692967,10.081496,12.01619,9125,2895,2464,306,611,519,92,420,175,245,0.317260274,0.270027397,0.033534247,0.066958904,0.056876712,0.010082192,0.046027397,0.019178082,0.026849315
27,"Ames, IA Metro Area",Iowa,67502,96.1,31534,44.9,28349,43.2,6308,9.6,2502,3.8,1337,2,3777,5.8,5390,8.2,60442,78648,73515,26309,,55863,,42894,,,17,179700,577,909,108211,87.5,34507,64520,54898,32350,52799,15972,32606,48705,54152,21752,52226,39263,6.4267825,9.9579019,12.459445,13899,3607,3088,398,1201,1091,110,931,438,493,0.259515073,0.222174257,0.028635154,0.086409094,0.078494856,0.007914238,0.066983236,0.031513058,0.035470178
28,"Amsterdam, NY Micro Area",New York,30031,87.8,6379,18.7,6911,31.1,3347,15.1,1580,7.1,351,1.6,931,4.2,1425,6.4,50146,67109,71796,32299,,47993,,39415,,,17.8,110700,533,759,42625,86.5,34691,53017,62917,41393,60799,21116,31630,38355,38321,39311,38831,42772,5.5444471,14.560151,18.364581,20074,4699,4188,398,736,653,82,727,274,453,0.23408389,0.208628076,0.019826641,0.036664342,0.03252964,0.004084886,0.036216001,0.013649497,0.022566504
29,"Anchorage, AK Metro Area",Alaska,246141,93.9,85656,32.7,74833,39.5,4547,2.4,17340,9.2,3852,2,8378,4.4,18503,9.8,82890,105130,100628,42129,,62182,,51936,,,9.2,301100,693,1277,266588,66.7,46935,71357,77784,49075,74800,25005,36768,44389,56219,63148,53591,59027,15.884937,19.575285,22.571375,18866,4331,4004,278,1017,918,100,1795,822,973,0.229566416,0.212233648,0.014735503,0.053906498,0.048658963,0.005300541,0.095144705,0.043570444,0.051574261
30,"Andrews, TX Micro Area",Texas,8395,76.7,1634,14.9,2332,26.3,552,6.2,569,6.4,69,0.8,277,3.1,286,3.2,75147,94468,92491,40742,,61719,,40222,,,11.2,153200,421,1095,14810,81.3,42109,62878,74800,60102,52679,31155,35075,61724,63825,,29948,44677,5.068857,7.5987531,11.713731,10000,3246,2693,484,1111,969,141,836,202,634,0.3246,0.2693,0.0484,0.1111,0.0969,0.0141,0.0836,0.0202,0.0634
31,"Angola, IN Micro Area",Indiana,21892,91.4,5381,22.5,4684,27.5,5317,31.2,852,5,61,0.4,631,3.7,924,5.4,58905,75138,73124,31670,,51588,,38728,,,9.9,154300,394,793,33120,95.7,36752,54356,59722,49228,45958,16163,32299,42367,41581,21750,42031,29063,6.9794484,11.206642,12.826182,10296,2881,2304,411,969,881,88,488,205,284,0.279817405,0.223776224,0.039918415,0.094114219,0.085567211,0.008547009,0.047397047,0.019910645,0.027583528
32,"Ann Arbor, MI Metro Area",Michigan,221460,95.7,131273,56.7,104606,55.4,23275,12.3,5995,3.2,3307,1.8,7781,4.1,23135,12.3,75730,104918,102877,33475,,68834,,54337,,,13.9,278500,719,1161,267847,72.7,41672,74228,79104,40060,69129,15511,29828,73320,53560,52573,48227,62333,7.243034,11.711424,16.260424,10780,3317,2823,346,1268,1089,178,528,335,193,0.307699443,0.26187384,0.032096475,0.117625232,0.101020408,0.016512059,0.048979592,0.031076067,0.017903525
